name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,icon
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,Radial Velocity,jupi
14 Andromedae b,246.0,5.23133,Gas Giant,2008,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0.0,Radial Velocity,jupi
18 Delphini b,249.0,5.51048,Gas Giant,2008,10.3,Jupiter,1.11,Jupiter,2.6,2.7,0.08,Radial Velocity,jupi
2MASS J01225093-2439505 b,110.0,14.244,Gas Giant,2013,24.5,Jupiter,1.0,Jupiter,52.0,593.2,0.0,Direct Imaging,jupi
BD+03 2562 b,3492.0,9.577,Gas Giant,2017,6.4,Jupiter,1.13,Jupiter,1.3,1.3193703,0.2,Radial Velocity,jupi
BD-13 2130 b,3018.0,10.038,Gas Giant,2007,9.78,Jupiter,1.11,Jupiter,1.66,2.0,0.21,Radial Velocity,jupi
BD+15 2375 b,2505.0,10.41,Gas Giant,2016,1.061,Jupiter,1.23,Jupiter,0.576,0.41943872,0.0,Radial Velocity,jupi
BD+15 2940 b,1391.0,9.01,Gas Giant,2013,1.11,Jupiter,1.23,Jupiter,0.539,0.37645447,0.26,Radial Velocity,jupi
BD+20 2457 c,5023.0,9.743,Gas Giant,2009,12.47,Jupiter,1.1,Jupiter,2.01,1.7,0.18,Radial Velocity,jupi
BD+20 274 b,4314.0,9.367,Gas Giant,2012,4.2,Jupiter,1.16,Jupiter,1.3,1.6,0.21,Radial Velocity,jupi
BD+49 828 b,1442.0,9.381,Gas Giant,2015,1.6,Jupiter,1.21,Jupiter,4.2,7.1,0.35,Radial Velocity,jupi
BD+55 362 b,171.0,9.38,Gas Giant,2021,0.72,Jupiter,1.25,Jupiter,0.78,0.7271732,0.27,Radial Velocity,jupi
CD Ceti b,28.0,13.95,Super Earth,2020,3.95,Earth,1.82,Earth,0.0185,0.0062970566,0.0,Radial Velocity,sat
CFBDSIR J145829+101343 b,75.0,,Gas Giant,2011,10.5,Jupiter,1.11,Jupiter,2.6,27.5,0.0,Direct Imaging,jupi
CoRoT-12 b,3674.0,15.588,Gas Giant,2010,0.917,Jupiter,1.44,Jupiter,0.04016,0.007665982,0.07,Transit,jupi
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,1.308,Jupiter,0.885,Jupiter,0.051,0.0109514035,0.0,Transit,jupi
